batch_size,epochs,optimizer,validation_loss,validation_accuracy
32,10,adam,0.2726047933101654,0.9117500185966492
32,10,sgd,0.33461886644363403,0.8778333067893982
32,20,adam,0.4411003291606903,0.9028333425521851
32,20,sgd,0.2886672914028168,0.8965833187103271
32,30,adam,0.570881724357605,0.9043333530426025
32,30,sgd,0.2902694642543793,0.8940833210945129
64,10,adam,0.2598983645439148,0.9085833430290222
64,10,sgd,0.4238443076610565,0.8451666831970215
64,20,adam,0.3628363311290741,0.9054166674613953
64,20,sgd,0.33743974566459656,0.8791666626930237
64,30,adam,0.5285894870758057,0.9079999923706055
64,30,sgd,0.3070821762084961,0.8900833129882812
128,10,adam,0.27449554204940796,0.9003333449363708
128,10,sgd,0.5201050043106079,0.8060833215713501
128,20,adam,0.2986217141151428,0.9078333377838135
128,20,sgd,0.39072197675704956,0.8585833311080933
128,30,adam,0.43976008892059326,0.9039166569709778
128,30,sgd,0.37424349784851074,0.8694166541099548
